Sample in Buffer,Sample in Window,TRIGGER,MyRtl_i/microphone_mgr_0_PDM_vector_full_STROBE,MyRtl_i/microphone_mgr_0_audio_data_vector_OUT[1023:0]
20,20,0,1,1100100111001100011011000111001100110010110001110011001101010011001011001100111000110011001110001101001110001110001110001110001110011000110101100101100101100101100101100110011001011010011001101010011001101001101010011100011001110010011011000110011101001011000110011100110011001011000111001100110011001011001100101100110101001101001100111000011101100011010100110101010101100011001101010101100101011000110101011001100011100110011000111001100011110001011001011001100110011001101010011001100110011100011001101010011011000110011010101010101010101001110011000110011100110010100111001100110001110001110011001100110011000111001100110011001100110011010011001011001101001110001011001101001110001101001101001110010011010011100011100011010101100011001110011001001110001110011000111000111001100110010011100110001110100110011001010011110001011001100011101010011010011001100101011001110001100110011001101001101010011100010101100111001001110001100110011011000110100111000110110001100111000111000110110001101011000111000110101011001010011100
21,21,0,1,1011000111000111001100100111001100011100110001110001111000011100110001110011000111100001110011000111010100110001110011001100110011001100011100111000101011001100110011001100110010110100110100110011001100110011001101001100110101001100110011001100110101010011001100110100110101001101001100110100111000110001111001100010101100111000111000101100110011100100110100111000101100110011100110000111100011010100110101001110001100110101010011100011001100111001010011010100110110001011001110010011100011001110001100111000110011100011100011001100111000111001001100111000110011010101001110010011100010110011100011100011001110001100111000110011100011100011001011011000110101001101010100111000110011010011100011001101010100111000101101010011011000101100110101010011100011001100110100111000110011010011010100110100110100110101001100110011100010110011010100110100110011010100110011001100110100110101001100110010110011100010101100111000101100101100110011010100110010110010110011100001110011001110000111001011001100110100110010110001110011100010
22,22,0,1,1011000111001110000111001100011100110011001100110001110001111000011100101100011100110100101010101011000111001100101011000111001011000111000111010010101001110010101100011100011100101010101010110001101001110011001010011100011001110011000110011100011100011011000110011011000110101100010110011100110001010110101011000110011010011011000110010110101010100110101001100110100111000101100110011011000011101100010011110001101010011000111100011001011001100110011100001110011001100110011001100110011001011000111010100110010101100101100110001110101001100011100101011001011001011001010110010101100101100011100110001110011000111001100011100110001110001110010110001110001110011001001110010101010101010110001110001110001110010101010101010101010101010101010101001110011000110100111001001110001110001101011000110011100110001011010101010011100110001100110011100110001100110011100110001100110101010101001110001110001100111000110011100011100011100011001101011000110011001110011001001100110011100101100001111001100011001101010101100011001101011000
23,23,0,1,1101001110011000101101010101010101010101010011100101010011100011011000111000110101100011100011011000111001001110010101010101010101100011100101001110011001011000101110010110010101100011100110001110010101100101011000111001100110010110001101100101100110010110010110010101011001100110011001100101011000111100011001100011100111000110001110011010100110100110010101100111000110011001100110011100011001100110011010101010011001101100001111001001110001100110101010100111000110100111001010100110101100011011000110011100110010011100100111001100011100011100101011001010110001110011001011000111001100110011001001110100110011001100110001110100110101001100011110001100110010110101001110001011001100110101100011001100111000110011100101010011010101010101001110010101010101010110001101100101010110001110011001011000111001101001010101100110010110011001100110011001100111000011101010011001101100001111000111000110011001110010101010011011000110100111010010101010011100110010011100110011000111001011001100110011000111001110001100101011001110001100
24,24,0,1,1011001110001101001110001100110110001100111000111001010101001110011000111000111001100110001110010101100110011001100110011000111100011001100110011100011001011010011100101010011010100111000111000111001010101010101100011100110011000111001100110010101100110011010011001100111000011101010011100011001110001101010101010011100100111001010110001110011000111001100101100011110001100011101001110001010110011010100111000110011011000110011011000110110001110010110001101100101010110011001100101100101100101100111000101100110100110101010011001110001110001101011000110011100110010101100011100110001110100110011001100110011000111100100110100110101001101100010110011100110010100111001010101011001010101100110010110010110011001110001010110011001110010011010011010101010100111001010101010101100011011001100110010101100101100101101001101001100110101001100110101010011100011010101010101100011011000111001100110010101011001100011110001100110011010011001101001110001100111000111000111000111000111001010110001110011100001101011001100111000011101001
25,25,0,1,1100011001100110101001110011000110011011001010101011000111010010110010110001110101001101001100110011010011010100111000110011100011100101010101010101100011100110011001100011100110100110011001101001101010011001101010100111001010011100011100011100110001110011000111100001110011001100110011001110001011001100111001010101001100111001010101010110001110010101100101100110001110100110100110011001100110011100011001101001110010100111000111000110101100101100011100110010110010110010110011001100110100110011100010110011100011010011100011100011100011100011100101100101001110101001011000111010011001100110100110011001101001101010100111000110011100011100011010101100101001110100110001101100011101100001110001111000110011001100110011001110001100110100110110001100111000111001001110001110010101010110001110010110010101100110011000111001110001010110011001100110011100011001100110101001110001100111000111000110101010011100110001110010101001110011001100110001100111100011001100011100110100110011001101001100110011001101001110001101001100111000
26,26,0,1,1101010101010011010110001101011000111000111001100011100011100110001110011010011000110110011001100110011000111100011001100110011001100110101001101010011010011010100110101010011100011010011100011100101010011100011100100111001100101001110011000111001011001100011100110001111000011101001100011101010011001011001100110011001100111000110001111000111000101100110011100011001110001101001110001100111001001101010101010100111001001110001110010101010101001110011001001110010110001110001110100101011000111001100110010011100110011001100101011001011001011001100110011001011001100110011001100110010110100110011100001110011010100111000011100111000110011001100110101010100110011100010110011010100111001001100111000110011001110001110001101010100111000110011001110011000111000110011001110011000111000110011100011100011100110001011001110011010001101001110001110010101010110001101010101100011100101010101010110001110010101010101011001001110011000111000111001100011100011100110010101010101100011100101011000111001100110001101011000111001100101011
27,27,0,1,0001110001110100110001110001110011001010101011001010101100101010101100101100011100110010100111001100110010011100101011000111001100101010110001110010110001110011001010101010110001110011000111001100011100100111001100101100011010110001110011000110110010101100011100011100101011000111000111001010101011000110110001110001110011000111000110011100101100100111000110101100011100100111000110101100011010101010101010110001100110101011000110101010011100101010011001110010011100011010100110101010101001110001100110011100101001101001101010100111000101100111000110011010101001100110110001010110011100100110011001100111000101100110011100010110011001100110101001100110011001100110100110010110011001100110011010011001100101100011110001011001100101100110001110100110100101011001011000111001110000110101100101100101100101100011100110010101011000111001100101100011100011100110001101100101010110001110001110001110011000110110001101010101100011010101100011010011100110001100110110001101010100111001001101100010110011100110001011001110001101001110
28,28,0,1,0011001101010011100011001100110101001101010011010011010011100001110100111000110011001011001110001100110011001100101100111000110010110011000111100100110011000111010011001100110011001100110001110101001100011100110100110010110010101100101100110010110010110010110010101100110010101100011101001100101100011100101100101011001011000111010010101100011100110001110100101011000110110011001010101010110011000111001100011100101011000111001100011100110010101010101100011100110010101010110001110011001001110011001011000110110010110001110010101100101100100111001100101100011100011101001100101010011100110100101100011010110011001010110010110011000111001011001100011100110011001100110001101100110011001011001011001011001100101100110010110011001011001100110011001100110010110011001100110011001100110011001101010011001100101100110011100011001100110011001110001100110011001110001100110011100011010011010011100011001100110110010011001110010011010101001110001101001110010101010011100011011000111000111000111000111001010101010101100011100101010110
29,29,0,1,0101001110011001100011100101100011100110011001011000111001101001100100111100001110011100001110011001101001100110011001100110011010011010100110011001101010011100011001100110011100100111000110100111001001101010100111001010011100110001100111001100101001110011001001110011001100011100110010011101010011001100011100110100110011001100110010110011100011001100110100111000101100111000110101001110001101010011100101010011100100111001100011010101100110001101100110010101100101011001100110011000111100011000111011000101011010011010101001100110011100100111000110011001110010101011000110101011000111000111001100110001101011001100110010110011001010110011001110001010110011100010110011010011100100110100111000110011100011100101100011001110011001010011101001100100111001100110011001100110001110100110101010011001100110011011000110011001110010101001110001110001101100011100110001110010110010101100101100110010101100110101001100110011001100111000110011011000110011001110011000110101010101100100111001100101010110010101100110011001100110011001
