Sample in Buffer,Sample in Window,TRIGGER,MyRtl_i/filter_sg_0_audio_ce,MyRtl_i/filter_sg_0_audio_out[19:0]
541,541,0,1,51
542,542,0,1,54
543,543,0,1,58
544,544,0,1,60
545,545,0,1,62
546,546,0,1,67
547,547,0,1,71
548,548,0,1,72
549,549,0,1,83
550,550,0,1,89
551,551,0,1,100
552,552,0,1,106
553,553,0,1,111
554,554,0,1,112
555,555,0,1,122
556,556,0,1,126
557,557,0,1,128
558,558,0,1,126
559,559,0,1,127
560,560,0,1,129
561,561,0,1,130
562,562,0,1,131
563,563,0,1,125
564,564,0,1,124
565,565,0,1,116
566,566,0,1,110
567,567,0,1,107
568,568,0,1,97
569,569,0,1,88
570,570,0,1,79
571,571,0,1,64
572,572,0,1,53
573,573,0,1,38
574,574,0,1,23
575,575,0,1,16
576,576,0,1,2
577,577,0,1,-18
578,578,0,1,-29
579,579,0,1,-42
580,580,0,1,-59
581,581,0,1,-71
582,582,0,1,-79
583,583,0,1,-87
584,584,0,1,-99
585,585,0,1,-105
586,586,0,1,-114
587,587,0,1,-118
588,588,0,1,-125
589,589,0,1,-124
590,590,0,1,-127
591,591,0,1,-129
592,592,0,1,-132
593,593,0,1,-139
594,594,0,1,-140
595,595,0,1,-139
596,596,0,1,-143
597,597,0,1,-140
598,598,0,1,-142
599,599,0,1,-140
600,600,0,1,-138
601,601,0,1,-129
602,602,0,1,-124
603,603,0,1,-116
604,604,0,1,-101
605,605,0,1,-95
606,606,0,1,-85
607,607,0,1,-80
608,608,0,1,-66
609,609,0,1,-61
610,610,0,1,-54
611,611,0,1,-43
612,612,0,1,-39
613,613,0,1,-24
614,614,0,1,-18
615,615,0,1,-10
616,616,0,1,-1
617,617,0,1,11
618,618,0,1,12
619,619,0,1,23
620,620,0,1,27
621,621,0,1,34
622,622,0,1,36
623,623,0,1,42
624,624,0,1,50
625,625,0,1,54
626,626,0,1,58
627,627,0,1,60
628,628,0,1,66
629,629,0,1,65
630,630,0,1,65
631,631,0,1,61
632,632,0,1,63
633,633,0,1,68
634,634,0,1,69
635,635,0,1,76
636,636,0,1,81
637,637,0,1,83
638,638,0,1,96
639,639,0,1,99
640,640,0,1,109
641,641,0,1,110
642,642,0,1,118
643,643,0,1,123
644,644,0,1,127
645,645,0,1,129
646,646,0,1,134
647,647,0,1,136
648,648,0,1,137
649,649,0,1,137
650,650,0,1,134
651,651,0,1,133
652,652,0,1,131
653,653,0,1,131
654,654,0,1,120
655,655,0,1,116
656,656,0,1,108
657,657,0,1,95
658,658,0,1,85
659,659,0,1,77
660,660,0,1,61
661,661,0,1,51
662,662,0,1,40
663,663,0,1,28
664,664,0,1,11
665,665,0,1,-4
666,666,0,1,-19
667,667,0,1,-35
668,668,0,1,-46
669,669,0,1,-60
670,670,0,1,-69
671,671,0,1,-86
672,672,0,1,-94
673,673,0,1,-102
674,674,0,1,-108
675,675,0,1,-114
676,676,0,1,-124
677,677,0,1,-124
678,678,0,1,-127
679,679,0,1,-128
680,680,0,1,-135
681,681,0,1,-135
682,682,0,1,-142
683,683,0,1,-139
684,684,0,1,-143
685,685,0,1,-149
686,686,0,1,-145
687,687,0,1,-143
688,688,0,1,-142
689,689,0,1,-138
690,690,0,1,-127
691,691,0,1,-124
692,692,0,1,-113
693,693,0,1,-104
694,694,0,1,-94
695,695,0,1,-89
696,696,0,1,-79
697,697,0,1,-72
698,698,0,1,-62
699,699,0,1,-58
700,700,0,1,-50
701,701,0,1,-39
702,702,0,1,-32
703,703,0,1,-23
704,704,0,1,-18
705,705,0,1,-7
706,706,0,1,2
707,707,0,1,8
708,708,0,1,9
709,709,0,1,18
710,710,0,1,23
711,711,0,1,28
712,712,0,1,32
713,713,0,1,36
714,714,0,1,40
715,715,0,1,47
716,716,0,1,49
717,717,0,1,57
718,718,0,1,56
719,719,0,1,53
720,720,0,1,54
721,721,0,1,52
722,722,0,1,55
723,723,0,1,62
724,724,0,1,65
725,725,0,1,74
726,726,0,1,77
727,727,0,1,87
728,728,0,1,94
729,729,0,1,102
730,730,0,1,106
731,731,0,1,115
732,732,0,1,116
733,733,0,1,123
734,734,0,1,125
735,735,0,1,126
736,736,0,1,129
737,737,0,1,129
738,738,0,1,133
739,739,0,1,130
740,740,0,1,124
741,741,0,1,124
742,742,0,1,125
743,743,0,1,117
744,744,0,1,111
745,745,0,1,100
746,746,0,1,92
747,747,0,1,84
748,748,0,1,71
749,749,0,1,56
750,750,0,1,45
751,751,0,1,35
752,752,0,1,21
753,753,0,1,6
754,754,0,1,-7
755,755,0,1,-19
756,756,0,1,-35
757,757,0,1,-44
758,758,0,1,-61
759,759,0,1,-71
760,760,0,1,-84
761,761,0,1,-94
762,762,0,1,-106
763,763,0,1,-110
764,764,0,1,-117
765,765,0,1,-117
766,766,0,1,-121
767,767,0,1,-128
768,768,0,1,-132
769,769,0,1,-132
770,770,0,1,-136
771,771,0,1,-139
772,772,0,1,-142
773,773,0,1,-144
774,774,0,1,-144
775,775,0,1,-147
776,776,0,1,-143
777,777,0,1,-136
778,778,0,1,-132
779,779,0,1,-130
780,780,0,1,-123
781,781,0,1,-110
782,782,0,1,-104
783,783,0,1,-92
784,784,0,1,-85
785,785,0,1,-77
786,786,0,1,-68
787,787,0,1,-56
788,788,0,1,-51
789,789,0,1,-46
790,790,0,1,-38
791,791,0,1,-28
792,792,0,1,-13
793,793,0,1,-5
794,794,0,1,-3
795,795,0,1,7
796,796,0,1,19
797,797,0,1,25
798,798,0,1,26
799,799,0,1,28
800,800,0,1,34
801,801,0,1,44
802,802,0,1,49
803,803,0,1,52
804,804,0,1,58
805,805,0,1,58
806,806,0,1,61
807,807,0,1,59
808,808,0,1,57
809,809,0,1,61
810,810,0,1,62
811,811,0,1,67
812,812,0,1,74
813,813,0,1,78
814,814,0,1,81
815,815,0,1,84
816,816,0,1,97
817,817,0,1,102
818,818,0,1,108
819,819,0,1,114
820,820,0,1,118
821,821,0,1,122
822,822,0,1,126
823,823,0,1,128
824,824,0,1,127
825,825,0,1,136
826,826,0,1,130
827,827,0,1,137
828,828,0,1,132
829,829,0,1,132
830,830,0,1,126
831,831,0,1,126
832,832,0,1,120
833,833,0,1,112
834,834,0,1,103
835,835,0,1,93
836,836,0,1,79
837,837,0,1,67
838,838,0,1,58
839,839,0,1,48
840,840,0,1,28
841,841,0,1,21
842,842,0,1,5
843,843,0,1,-9
844,844,0,1,-20
845,845,0,1,-41
846,846,0,1,-52
847,847,0,1,-64
848,848,0,1,-75
849,849,0,1,-94
850,850,0,1,-103
851,851,0,1,-106
852,852,0,1,-114
853,853,0,1,-117
854,854,0,1,-125
855,855,0,1,-124
856,856,0,1,-133
857,857,0,1,-133
858,858,0,1,-135
859,859,0,1,-135
860,860,0,1,-140
861,861,0,1,-147
862,862,0,1,-143
863,863,0,1,-150
864,864,0,1,-147
865,865,0,1,-141
866,866,0,1,-142
867,867,0,1,-135
868,868,0,1,-128
869,869,0,1,-123
870,870,0,1,-114
871,871,0,1,-101
872,872,0,1,-90
873,873,0,1,-85
874,874,0,1,-77
875,875,0,1,-67
876,876,0,1,-62
877,877,0,1,-54
878,878,0,1,-46
879,879,0,1,-35
880,880,0,1,-31
881,881,0,1,-22
882,882,0,1,-15
883,883,0,1,-3
884,884,0,1,5
885,885,0,1,8
886,886,0,1,19
887,887,0,1,23
888,888,0,1,25
889,889,0,1,31
890,890,0,1,40
891,891,0,1,42
892,892,0,1,42
893,893,0,1,45
894,894,0,1,50
895,895,0,1,51
896,896,0,1,52
897,897,0,1,53
898,898,0,1,55
899,899,0,1,57
900,900,0,1,60
901,901,0,1,63
902,902,0,1,69
903,903,0,1,75
904,904,0,1,83
905,905,0,1,88
906,906,0,1,95
907,907,0,1,104
908,908,0,1,111
909,909,0,1,116
910,910,0,1,117
911,911,0,1,125
912,912,0,1,125
913,913,0,1,129
914,914,0,1,128
915,915,0,1,132
916,916,0,1,132
917,917,0,1,138
918,918,0,1,132
919,919,0,1,127
920,920,0,1,127
921,921,0,1,120
922,922,0,1,111
923,923,0,1,103
924,924,0,1,96
925,925,0,1,84
926,926,0,1,67
927,927,0,1,61
928,928,0,1,45
929,929,0,1,36
930,930,0,1,24
931,931,0,1,6
932,932,0,1,-11
933,933,0,1,-21
934,934,0,1,-35
935,935,0,1,-48
936,936,0,1,-61
937,937,0,1,-74
938,938,0,1,-85
939,939,0,1,-92
940,940,0,1,-102
941,941,0,1,-110
942,942,0,1,-115
943,943,0,1,-121
944,944,0,1,-118
945,945,0,1,-125
946,946,0,1,-128
947,947,0,1,-130
948,948,0,1,-129
949,949,0,1,-139
950,950,0,1,-142
951,951,0,1,-137
952,952,0,1,-140
953,953,0,1,-139
954,954,0,1,-137
955,955,0,1,-135
956,956,0,1,-126
957,957,0,1,-119
958,958,0,1,-114
959,959,0,1,-103
960,960,0,1,-91
961,961,0,1,-83
962,962,0,1,-78
963,963,0,1,-70
964,964,0,1,-62
965,965,0,1,-54
966,966,0,1,-46
967,967,0,1,-35
968,968,0,1,-28
969,969,0,1,-17
970,970,0,1,-8
971,971,0,1,1
972,972,0,1,11
973,973,0,1,16
974,974,0,1,21
975,975,0,1,30
976,976,0,1,36
977,977,0,1,40
978,978,0,1,44
979,979,0,1,49
980,980,0,1,54
981,981,0,1,61
982,982,0,1,59
983,983,0,1,64
984,984,0,1,63
985,985,0,1,60
986,986,0,1,64
987,987,0,1,65
988,988,0,1,70
989,989,0,1,67
990,990,0,1,73
991,991,0,1,77
992,992,0,1,83
993,993,0,1,94
994,994,0,1,97
995,995,0,1,103
996,996,0,1,108
997,997,0,1,114
998,998,0,1,116
999,999,0,1,122
1000,1000,0,1,123
1001,1001,0,1,125
1002,1002,0,1,128
1003,1003,0,1,128
1004,1004,0,1,135
1005,1005,0,1,135
1006,1006,0,1,132
1007,1007,0,1,127
1008,1008,0,1,124
1009,1009,0,1,118
1010,1010,0,1,117
1011,1011,0,1,106
1012,1012,0,1,94
1013,1013,0,1,82
1014,1014,0,1,73
1015,1015,0,1,59
1016,1016,0,1,48
1017,1017,0,1,41
1018,1018,0,1,27
1019,1019,0,1,10
1020,1020,0,1,-7
1021,1021,0,1,-18
1022,1022,0,1,-33
1023,1023,0,1,-49
1024,1024,0,1,-60
1025,1025,0,1,-74
1026,1026,0,1,-86
1027,1027,0,1,-96
1028,1028,0,1,-106
1029,1029,0,1,-114
1030,1030,0,1,-121
1031,1031,0,1,-129
1032,1032,0,1,-127
1033,1033,0,1,-134
1034,1034,0,1,-137
1035,1035,0,1,-138
1036,1036,0,1,-142
1037,1037,0,1,-141
1038,1038,0,1,-145
1039,1039,0,1,-148
1040,1040,0,1,-153
1041,1041,0,1,-150
1042,1042,0,1,-149
1043,1043,0,1,-145
1044,1044,0,1,-143
1045,1045,0,1,-133
1046,1046,0,1,-126
1047,1047,0,1,-116
1048,1048,0,1,-107
1049,1049,0,1,-99
1050,1050,0,1,-94
1051,1051,0,1,-85
1052,1052,0,1,-77
1053,1053,0,1,-63
1054,1054,0,1,-58
1055,1055,0,1,-54
1056,1056,0,1,-43
1057,1057,0,1,-30
1058,1058,0,1,-25
1059,1059,0,1,-19
1060,1060,0,1,-11
1061,1061,0,1,-4
1062,1062,0,1,7
1063,1063,0,1,13
1064,1064,0,1,19
1065,1065,0,1,24
1066,1066,0,1,25
1067,1067,0,1,35
1068,1068,0,1,38
1069,1069,0,1,46
1070,1070,0,1,48
1071,1071,0,1,49
1072,1072,0,1,50
1073,1073,0,1,52
1074,1074,0,1,52
1075,1075,0,1,52
1076,1076,0,1,55
1077,1077,0,1,57
1078,1078,0,1,62
1079,1079,0,1,67
1080,1080,0,1,73
1081,1081,0,1,76
1082,1082,0,1,84
1083,1083,0,1,95
1084,1084,0,1,100
1085,1085,0,1,107
1086,1086,0,1,113
1087,1087,0,1,119
1088,1088,0,1,121
1089,1089,0,1,122
1090,1090,0,1,130
1091,1091,0,1,126
1092,1092,0,1,135
1093,1093,0,1,134
1094,1094,0,1,131
1095,1095,0,1,135
1096,1096,0,1,130
1097,1097,0,1,127
1098,1098,0,1,119
1099,1099,0,1,117
1100,1100,0,1,105
1101,1101,0,1,96
1102,1102,0,1,87
1103,1103,0,1,76
1104,1104,0,1,62
1105,1105,0,1,54
1106,1106,0,1,36
1107,1107,0,1,25
1108,1108,0,1,11
1109,1109,0,1,-5
1110,1110,0,1,-20
1111,1111,0,1,-32
1112,1112,0,1,-40
1113,1113,0,1,-52
1114,1114,0,1,-71
1115,1115,0,1,-81
1116,1116,0,1,-90
1117,1117,0,1,-104
1118,1118,0,1,-106
1119,1119,0,1,-110
1120,1120,0,1,-118
